2123, -72, 6880, -86
2057, -57, 6794, -53
2002, -41, 6741, -22
1965, -1, 6719, -1
1967, -22, 6718, -23
1949, -50, 6695, -27
1899, -43, 6668, -32
1859, -58, 6636, -59
1804, -66, 6577, -47
1741, -47, 6530, -38
1699, -14, 6492, -58
1690, -22, 6434, -65
1673, -59, 6369, -83
1617, -55, 6286, -50
1563, -38, 6236, -50
1527, -44, 6186, -26
1486, -39, 6160, -63
1450, -35, 6097, -23
1418, -25, 6074, -37
1393, -26, 6037, -65
1369, -56, 5972, -75
1316, -36, 5897, -68
1284, -55, 5829, -54
1232, -29, 5775, -38
1207, -20, 5737, -47
1187, -42, 5690, -57
1146, -31, 5633, -49
1115, -22, 5584, -37
1094, -9, 5547, -66
1085, -31, 5481, -65
1056, -42, 5416, -74
1015, -36, 5342, -74
981, 324, 5268, -87
1306, 16, 5181, -63
1322, 11, 5118, -50
1334, 14, 5068, -68
1352, -16, 5000, -57
1337, -17, 4943, -48
1321, -32, 4895, -32
1289, -8, 4863, -41
1282, -18, 4822, -27
1266, -15, 4795, -43
1253, -12, 4752, -34
1243, -25, 4718, -39
1219, -9, 4679, -45
1212, -12, 4634, -74
1202, -26, 4560, -29
1176, -5, 4531, -42
1172, 5, 4489, -38
1177, -9, 4451, -11
1169, 0, 4440, -42
1170, -8, 4398, -59
1165, 2, 4339, -25
1167, 27, 4314, -37
1195, -10, 4277, -49
1185, -10, 4228, -39
1176, -19, 4189, -45
1157, -16, 4144, -30
1142, 8, 4114, -52
1150, -11, 4062, -53
1141, 13, 4009, -66
1155, 3, 3943, -38
1159, 14, 3905, -56
1175, -2, 3849, -48
1173, 18, 3801, -48
1191, -9, 3753, -61
1182, 12, 3692, -47
1194, 10, 3645, -50
1204, 6, 3595, -27
1210, 9, 3568, -35
1219, 21, 3533, -36
1240, 2, 3497, -26
1242, 0, 3471, -34
1242, 15, 3437, -34
1257, 5, 3403, -39
1263, -13, 3364, -42
1251, -2, 3322, -54
1250, 28, 3268, -20
1278, 23, 3248, -13
1302, -8, 3235, -27
1294, 14, 3208, -24
1309, 1, 3184, -24
1311, 14, 3160, -39
1325, 23, 3121, -38
1348, -2, 3083, -33
1347, -6, 3050, -53
1342, 17, 2997, -5
1359, -1, 2992, -23
1359, 19, 2969, -32
1378, -13, 2937, -45
1366, -8, 2892, -22
1358, 19, 2870, -30
1377, 5, 2840, -17
1382, 21, 2823, -19
1405, 1, 2804, -22
1407, 17, 2782, -19
1425, 2, 2763, 4
1429, -3, 2767, -13
1426, -6, 2754, -10
1423, -10, 2744, -28
1414, 0, 2716, 2
1414, 4, 2718, -9
1419, -2, 2709, -20
1417, 10, 2689, -16
1428, 25, 2673, -30
1454, -11, 2643, -23
1444, 4, 2620, -29
1451, 26, 2591, -14
1477, -4, 2577, -8
1475, 23, 2569, -12
1498, 4, 2557, -12
1502, 6, 2545, -21
1508, 20, 2524, 1
1528, 3, 2525, -17
1531, 13, 2508, -11
1545, 7, 2497, -12
1552, 17, 2485, 1
1571, 3, 2486, -23
1574, 3, 2463, -22
1577, 24, 2441, -32
1601, -12, 2409, -31
1590, 8, 2378, -37
1602, 13, 2341, -15
1617, 1, 2326, -21
1621, 1, 2305, -10
1624, 4, 2295, -33
1628, 23, 2262, -10
1653, 27, 2252, -10
1680, 10, 2242, -14
1690, -2, 2228, -11
1689, 22, 2217, -11
1712, 28, 2206, -13
1740, 31, 2193, -20
1771, -3, 2173, -13
1769, 13, 2160, -17
1783, 28, 2143, -22
1811, 30, 2121, -13
1841, 33, 2108, -23
1875, 25, 2085, 7
1901, 13, 2092, -17
1915, 19, 2075, -20
1935, 10, 2055, -3
1949, -10, 2052, -1
1939, -17, 2051, -2
1924, 20, 2049, 5
1945, 20, 2054, 10
1967, 30, 2064, 6
1997, 20, 2070, 2
2018, 6, 2072, -13
2025, 17, 2059, -22
2043, 43, 2037, -16
2086, 22, 2021, -38
2112, 16, 1983, -2
2129, 22, 1981, -16
2153, 30, 1965, -17
2184, 4, 1948, -17
2190, 53, 1931, -32
2244, 23, 1899, -16
2271, 60, 1883, -8
2331, 29, 1875, -16
2362, 36, 1859, -20
2398, 35, 1839, -17
2433, 42, 1822, -15
2475, 40, 1807, -19
2516, 35, 1788, -6
